identity_key,molecule_name,formula,energy_eV,experimental_sigma_A2,beb_sigma_A2,experimental_uncertainty_A2,label_type,primary_low_energy,evidence,source,energy_is_reported,molecule_weight,sample_weight,target_log_ratio,cv_fold
1-3-butadiene,"1,3-butadiene",C4H6,72.5,11.6,10.20990659,0.3,fixed_70_75eV,True,published_fixed_energy_ALeCS,${ARCHIVE_ROOT}\outputs\alecs_bose396_match_2026_08_01\approved_same_identity_11\approved_11_manifest.csv,True,0.5,0.9556139478730202,0.12764661485124928,2
1-3-butadiene,"1,3-butadiene",C4H6,75.0,11.6,10.905,0.3,fixed_energy_numeric,True,strict_incremental_numeric,${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\new25_incremental_identity_ledger_2026_08_01.csv,True,0.5,0.9556139478730202,0.06178369845872664,2
1-4-5-6-tetrahydropyrimidine,"1,4,5,6-tetrahydropyrimidine",C4H8N2,82.11979524245614,13.99,13.989115720004351,0.5596,peak_height_numeric,True,published_numeric_peak,${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\bull2014_peak15_strict_pairs_2026_07_31.csv,False,1.0,1.7999999999999998,6.321000311752048e-05,1
1-butanol,n-Butanol,C4H10O,72.5,14.0,13.90052954,,fixed_70_75eV,True,published_fixed_energy,${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\ready100_fixed_energy_with_existing_beb_no_qec.csv,True,0.5,0.5,0.007130393801384304,3
1-butanol,n-Butanol,C4H10O,75.0,12.85,13.91384551,0.51,peak_height,True,published_numeric_peak,${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\agent_no_qec_immediate_numeric_peak_labels_50.csv,True,0.5,0.9013974943363267,-0.0795406128931752,3
1-butene,1-butene,C4H8,75.0,11.7,11.755,,fixed_energy_numeric,True,strict_incremental_numeric,${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\new25_incremental_identity_ledger_2026_08_01.csv,True,1.0,1.0,-0.004689840188322476,2
1-heptene,1-heptene,C7H14,70.0,18.8,21.03,,fixed_energy_numeric,True,strict_incremental_numeric,${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\new25_incremental_identity_ledger_2026_08_01.csv,True,1.0,1.0,-0.11209311987870492,1
1-hexene,1-hexene,C6H12,70.0,16.4,18.04,7.6,fixed_energy_numeric,True,strict_incremental_numeric,${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\new25_incremental_identity_ledger_2026_08_01.csv,True,0.5,0.06284007742342805,-0.0953101798043249,1
1-hexene,1-hexene,C6H12,72.5,16.4,17.53309475,7.6,fixed_70_75eV,True,published_fixed_energy_ALeCS,${ARCHIVE_ROOT}\outputs\alecs_bose396_match_2026_08_01\approved_same_identity_11\approved_11_manifest.csv,True,0.5,0.06284007742342805,-0.06680888873837143,1
1-propanol,1-propanol,C3H8O,72.5,11.7,9.577576162268974,,fixed_70_75eV,True,published_fixed_energy,${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\ready100_fixed_energy_with_existing_beb_no_qec.csv,True,1.0,1.0,0.2001642920349905,2
2-butanol,sec-Butanol,C4H10O,16.0,1.75,1.854,0.07,curve_point,True,published_numeric_curve,${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\agent_2butanol_hudson2003_strict_numeric_pairs.csv,True,0.043478260869565216,0.07826086956521738,-0.057729679208240764,3
2-butanol,sec-Butanol,C4H10O,20.0,3.4,4.195,0.136,curve_point,True,published_numeric_curve,${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\agent_2butanol_hudson2003_strict_numeric_pairs.csv,True,0.043478260869565216,0.07826086956521738,-0.21011790829705387,3
2-butanol,sec-Butanol,C4H10O,24.0,5.06,6.207,0.2024,curve_point,True,published_numeric_curve,${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\agent_2butanol_hudson2003_strict_numeric_pairs.csv,True,0.043478260869565216,0.07826086956521738,-0.20431120413214152,3
2-butanol,sec-Butanol,C4H10O,28.0,6.53,7.848,0.2612,curve_point,True,published_numeric_curve,${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\agent_2butanol_hudson2003_strict_numeric_pairs.csv,True,0.043478260869565216,0.07826086956521738,-0.1838517789747222,3
2-butanol,sec-Butanol,C4H10O,32.0,7.75,9.174,0.31,curve_point,True,published_numeric_curve,${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\agent_2butanol_hudson2003_strict_numeric_pairs.csv,True,0.043478260869565216,0.07826086956521738,-0.16868055280972455,3
2-butanol,sec-Butanol,C4H10O,36.0,8.8,10.203,0.352,curve_point,True,published_numeric_curve,${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\agent_2butanol_hudson2003_strict_numeric_pairs.csv,True,0.043478260869565216,0.07826086956521738,-0.1479300732090071,3
2-butanol,sec-Butanol,C4H10O,41.0,9.71,11.184,0.3884,curve_point,True,published_numeric_curve,${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\agent_2butanol_hudson2003_strict_numeric_pairs.csv,True,0.043478260869565216,0.07826086956521738,-0.14132790318822078,3
2-butanol,sec-Butanol,C4H10O,45.0,10.48,11.771,0.4192,curve_point,True,published_numeric_curve,${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\agent_2butanol_hudson2003_strict_numeric_pairs.csv,True,0.043478260869565216,0.07826086956521738,-0.1161702005374475,3
2-butanol,sec-Butanol,C4H10O,49.0,11.11,12.222,0.4443999999999999,curve_point,True,published_numeric_curve,${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\agent_2butanol_hudson2003_strict_numeric_pairs.csv,True,0.043478260869565216,0.07826086956521738,-0.09539200282118515,3
2-butanol,sec-Butanol,C4H10O,53.0,11.58,12.565,0.4632,curve_point,True,published_numeric_curve,${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\agent_2butanol_hudson2003_strict_numeric_pairs.csv,True,0.043478260869565216,0.07826086956521738,-0.08163569885070629,3
2-butanol,sec-Butanol,C4H10O,57.0,11.9,12.821,0.476,curve_point,True,published_numeric_curve,${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\agent_2butanol_hudson2003_strict_numeric_pairs.csv,True,0.043478260869565216,0.07826086956521738,-0.07454605145307991,3
