original_csv_line,identity_key,original_energy_eV,corrected_energy_eV,original_uncertainty_A2,corrected_uncertainty_A2,peak_height_A2,reason,source
708,butyl-acetate,110.0,,0.91715649,0.915,18.3,Hudson Table 1 reports peak height without peak energy; author's 5% absolute accuracy used for peak uncertainty,10.1016/j.ijms.2005.11.003; journal Table 1 p.45; accuracy p.44
763,butyl-formate,100.0,,0.78188678,0.78,15.6,Hudson Table 1 reports peak height without peak energy; author's 5% absolute accuracy used for peak uncertainty,10.1016/j.ijms.2005.11.003; journal Table 1 p.45; accuracy p.44
1647,ethyl-acetate,110.0,,0.69285714,0.6900000000000001,13.8,Hudson Table 1 reports peak height without peak energy; author's 5% absolute accuracy used for peak uncertainty,10.1016/j.ijms.2005.11.003; journal Table 1 p.45; accuracy p.44
1705,ethyl-formate,115.0,,0.52282592,0.52,10.4,Hudson Table 1 reports peak height without peak energy; author's 5% absolute accuracy used for peak uncertainty,10.1016/j.ijms.2005.11.003; journal Table 1 p.45; accuracy p.44
1979,isobutyl-acetate,110.0,,0.91715649,0.915,18.3,Hudson Table 1 reports peak height without peak energy; author's 5% absolute accuracy used for peak uncertainty,10.1016/j.ijms.2005.11.003; journal Table 1 p.45; accuracy p.44
2034,isobutyl-formate,100.0,,0.78188678,0.78,15.6,Hudson Table 1 reports peak height without peak energy; author's 5% absolute accuracy used for peak uncertainty,10.1016/j.ijms.2005.11.003; journal Table 1 p.45; accuracy p.44
2151,isopropyl-acetate,110.0,,0.76259493,0.76,15.2,Hudson Table 1 reports peak height without peak energy; author's 5% absolute accuracy used for peak uncertainty,10.1016/j.ijms.2005.11.003; journal Table 1 p.45; accuracy p.44
2208,isopropyl-formate,110.0,,0.65226294,0.65,13.0,Hudson Table 1 reports peak height without peak energy; author's 5% absolute accuracy used for peak uncertainty,10.1016/j.ijms.2005.11.003; journal Table 1 p.45; accuracy p.44
2325,methyl-acetate,115.0,,0.52874949,0.525,10.5,Hudson Table 1 reports peak height without peak energy; author's 5% absolute accuracy used for peak uncertainty,10.1016/j.ijms.2005.11.003; journal Table 1 p.45; accuracy p.44
2381,methyl-formate,110.0,,0.38385797,0.38,7.6,Hudson Table 1 reports peak height without peak energy; author's 5% absolute accuracy used for peak uncertainty,10.1016/j.ijms.2005.11.003; journal Table 1 p.45; accuracy p.44
2896,pentyl-formate,110.0,,0.94156622,0.9400000000000001,18.8,Hudson Table 1 reports peak height without peak energy; author's 5% absolute accuracy used for peak uncertainty,10.1016/j.ijms.2005.11.003; journal Table 1 p.45; accuracy p.44
3099,propyl-acetate,110.0,,0.78751255,0.785,15.7,Hudson Table 1 reports peak height without peak energy; author's 5% absolute accuracy used for peak uncertainty,10.1016/j.ijms.2005.11.003; journal Table 1 p.45; accuracy p.44
3155,propyl-formate,105.0,,0.68216343,0.68,13.6,Hudson Table 1 reports peak height without peak energy; author's 5% absolute accuracy used for peak uncertainty,10.1016/j.ijms.2005.11.003; journal Table 1 p.45; accuracy p.44
3218,sec-butyl-acetate,110.0,,0.91216831,0.91,18.2,Hudson Table 1 reports peak height without peak energy; author's 5% absolute accuracy used for peak uncertainty,10.1016/j.ijms.2005.11.003; journal Table 1 p.45; accuracy p.44
3753,tert-butyl-acetate,205.0,,0.92713323,0.925,18.5,Hudson Table 1 reports peak height without peak energy; author's 5% absolute accuracy used for peak uncertainty,10.1016/j.ijms.2005.11.003; journal Table 1 p.45; accuracy p.44
