identity_key,molecule_name,formula,rows,primary_rows,cv_fold,primary_raw_NMAE,primary_ml_NMAE,primary_improvement_pp,whole_raw_NMAE,whole_ml_NMAE
methyl-formate,methyl formate,C2H4O2,55,20,2,0.2113795102585775,0.043009327132700254,16.837018312587727,0.08947393908427001,0.022989786825444378
propyl-acetate,propyl acetate,C5H10O2,55,20,3,0.18424291467930776,0.017682043452103773,16.656087122720397,0.09723439623938993,0.02337576810514817
ethyl-formate,ethyl formate,C3H6O2,55,21,4,0.18324737766478671,0.04083637892510011,14.24109987396866,0.09548110775203571,0.042265557862406565
isopropyl-acetate,isopropyl acetate,C5H10O2,55,20,1,0.22969503397249907,0.09021652542001136,13.947850855248772,0.10698480267116141,0.046911662002793925
ozone,ozone,O3,19,15,1,0.5425897770414992,0.4172786673863253,12.531110965517394,0.5519915334846678,0.44857713899212937
pentyl-formate,pentyl formate,C6H12O2,55,20,1,0.18818269584459868,0.07339912322588908,11.47835726187096,0.10956133138849652,0.04361334626628809
isopropyl-formate,isopropyl formate,C4H8O2,55,20,4,0.1597983495322347,0.05139165413398643,10.840669539824829,0.09631672930724872,0.027314839491631798
chloromethane,chloromethane,CH3Cl,45,19,3,0.3116439496064678,0.20702421068518242,10.461973892128537,0.20624618044208087,0.1456368506727252
ethyl-acetate,ethyl acetate,C4H8O2,55,20,1,0.12284745586521977,0.021832311472182425,10.101514439303735,0.11632719122864024,0.051127185370361566
3-pentanone,diethyl ketone,C5H10O,55,15,3,0.12051044395204866,0.03265615167669999,8.785429227534866,0.13419208111796582,0.04185926115727614
silicon-monohydride,silicon monohydride,SiH,31,24,4,0.15147654350131662,0.07118742484941444,8.028911865190217,0.17290694960017944,0.12959481116040908
diethyl-ether,diethyl ether,C4H10O,55,17,3,0.12466672128089547,0.04463902588669973,8.002769539419575,0.18417823365157307,0.06864324547054063
silicon-tetrachloride,silicon tetrachloride,SiCl4,23,17,2,0.40455477206158563,0.3325791254158229,7.197564664576273,0.3977718835014517,0.33055527597395695
2-butanone,methyl ethyl ketone,C4H8O,55,16,3,0.1064668494686361,0.03565432214219002,7.081252732644608,0.15798224528077484,0.057955403878425814
butyraldehyde,butyraldehyde,C4H8O,55,16,4,0.1175252974119917,0.053380061250386614,6.414523616160508,0.12501250462628424,0.025525521714266364
bromomethane,bromomethane,CH3Br,8,3,2,0.08152330855794819,0.02776023967948027,5.376306887846792,0.1166323753657131,0.06202915646941922
propyl-formate,propyl formate,C4H8O2,55,19,0,0.1853463477776895,0.14623081208342478,3.911553569426471,0.10919727240353341,0.10158178947382512
silicon-trichloride,silicon trichloride,SiCl3,30,20,2,0.1478979883243745,0.1090014417042945,3.8896546620080006,0.15187950413408358,0.08028249383441405
nitrogen,nitrogen,N2,65,38,1,0.08296031951870525,0.04867378250539493,3.4286537013310316,0.061050066377000924,0.04394386450358693
phosphine,phosphine,PH3,18,8,0,0.18418829209414603,0.15089857064031695,3.3289721453829078,0.12834475095475384,0.10162324565042392
3-methyl-2-butanone,methyl isopropyl ketone,C5H10O,55,15,1,0.1706482772977006,0.1374659438908332,3.318233340686741,0.18928274506800855,0.14140171994862297
methyl-acetate,methyl acetate,C3H6O2,55,21,0,0.1524084449517487,0.12076022977462103,3.164821517712768,0.09275141724283328,0.08512151896883864
disilane,disilane,Si2H6,38,18,3,0.4765285301993422,0.4461213013509658,3.0407228848376433,0.27387330739162835,0.2551239971015276
nitrous-oxide,nitrous oxide,N2O,45,28,0,0.10112103992464773,0.07318111608856476,2.7939923836082974,0.06431384783391422,0.0468503300977339
3-hexanone,ethyl propyl ketone,C6H12O,55,17,2,0.052671850657105626,0.024974964893017884,2.7696885764087744,0.060055174221489316,0.056138721184345194
isobutyraldehyde,isobutyraldehyde,C4H8O,55,17,2,0.07016860463181546,0.044880898157928284,2.5287706473887175,0.1046061908631202,0.03568553518543079
chloroethane,chloroethane,C2H5Cl,28,11,0,0.3089922290894225,0.2847325427922719,2.4259686297150584,0.2907147167188203,0.26136599616525413
methylidyne,methylidyne,CH,28,20,4,0.12039178643313674,0.09656330194133987,2.3828484491796864,0.13820301049500924,0.1120449458623064
chloroform,chloroform,CHCl3,28,9,1,0.3727559656502192,0.34893501287744505,2.382095277277413,0.25570711833792,0.20831740160313048
carbon-dioxide,carbon dioxide,CO2,53,36,0,0.11677104541264721,0.09331262985420018,2.3458415558447037,0.0965693523256058,0.08151126352289156
4-methyl-2-pentanone,methyl iso-butyl ketone,C6H12O,55,18,0,0.09459623819435906,0.07508023189333154,1.951600630102751,0.16098954875020308,0.12448314009884578
silylene,silylene,SiH2,31,23,3,0.06543362300150941,0.0468355567544424,1.8598066247067015,0.10720012327372126,0.0588357129107684
methylene,methylene,CH2,26,19,2,0.13488173942247295,0.1162980833101332,1.8583656112339753,0.10944486982360252,0.09246010628912114
oxygen,oxygen,O2,50,34,2,0.12040289574738938,0.10223748144033801,1.8165414307051375,0.09793689386021921,0.10014361707063595
nitrogen-dioxide,nitrogen dioxide,NO2,16,12,1,0.06702018788243029,0.04895482229065358,1.8065365591776712,0.05131695960840522,0.04474589186551924
ethanethiol,ethanethiol,C2H6S,48,8,1,0.16236914416356282,0.15005705019569796,1.2312093967864868,0.2345568889329379,0.1990968717586814
2-hexanone,methyl butyl ketone,C6H12O,55,17,0,0.0518385731167878,0.040116576400806396,1.1721996715981404,0.07973549559632674,0.04414508774393537
hydrogen-sulfide,hydrogen sulfide,H2S,46,29,4,0.2322563300484443,0.22587700948314832,0.6379320565295971,0.1953536679930042,0.19932149111009018
carbon-disulfide,carbon disulfide,CS2,59,27,0,0.25427832367867453,0.24913670188396086,0.5141621794713669,0.2757589648444328,0.2739536219068886
silicon-difluoride,silicon difluoride,SiF2,29,24,3,0.09160385259631493,0.08736151338817923,0.4242339208135701,0.10646535322824348,0.09065298479419104
dipropyl-ether,dipropyl ether,C6H14O,55,18,0,0.0450276603250381,0.04086752714976966,0.4160133175268435,0.09083232508659021,0.06335215118460734
tetramethylsilane,tetramethylsilane,C4H12Si,25,24,1,0.24131205192130722,0.23853361839539633,0.2778433525910895,0.23995579592678562,0.23641507690713162
disulfur,disulfur,S2,26,19,3,0.2950021047313412,0.29381416436518104,0.11879403661601562,0.2785465575239207,0.2873986367521453
carbon-tetrafluoride,carbon tetrafluoride,CF4,85,64,0,0.09226464375461146,0.09295622088241123,-0.06915771277997695,0.07926318560372883,0.08063959998462292
carbon-monosulfide,carbon monosulfide,CS,32,20,0,0.25086865783184015,0.2515624552761859,-0.06937974443457784,0.20413857008672895,0.2244080896909052
carbon-monoxide,carbon monoxide,CO,67,50,3,0.0751200555824911,0.07666791665095773,-0.15478610684666327,0.061524551419163416,0.061180108924047606
methyl-radical,methyl radical,CH3,25,16,0,0.1346165404495733,0.13719989112029163,-0.2583350670718326,0.11988875283958175,0.1265036028542518
carbonyl-sulfide,carbonyl sulfide,COS,23,18,4,0.043486883863470334,0.046777755566636076,-0.3290871703165742,0.06452471616383716,0.05175784118560206
hydrogen,hydrogen,H2,49,21,4,0.025737047153538736,0.030745254047706814,-0.5008206894168078,0.053761828748088665,0.06381512755224228
water,water,H2O,67,38,4,0.19764982760467628,0.20326997593210733,-0.5620148327431046,0.17998809057028844,0.18660633183607422
boron-trifluoride,boron trifluoride,BF3,29,23,0,0.07520421724579661,0.081955633282063,-0.6751416036266389,0.09230241636218527,0.09873091040026763
nitric-oxide,nitric oxide,NO,79,53,1,0.11318854434831925,0.12126726737880064,-0.8078723030481392,0.12766528200837757,0.12967045909191907
ammonia,ammonia,NH3,43,24,2,0.06286248043583383,0.07106172000201116,-0.8199239566177339,0.05035876720825081,0.047077557836997616
silicon-monochloride,silicon monochloride,SiCl,29,19,2,0.16546346916741966,0.17368741311002656,-0.8223943942606893,0.17446718962394245,0.1306045966609942
hexafluoroethane,perfluoroethane,C2F6,73,64,4,0.07184538901306603,0.08304988981804547,-1.1204500804979436,0.06733121941695808,0.07207981534805404
methane,methane,CH4,56,37,3,0.06140594410965951,0.07327240609402878,-1.1866461984369274,0.08273180193569696,0.08797820751961823
silyl-radical,silyl radical,SiH3,31,23,1,0.050040054609665006,0.062043004435683946,-1.200294982601894,0.07865862445190108,0.08387053884811475
silicon-trifluoride,silicon trifluoride,SiF3,31,27,0,0.26300593416535833,0.2772503843317687,-1.424445016641035,0.3159696710775387,0.33563856962946736
silane,silane,SiH4,55,37,3,0.11420728609368132,0.12873002452726498,-1.4522738433583662,0.1584029000443929,0.19398038162598005
3-methyl-2-pentanone,methyl sec-butyl ketone,C6H12O,55,17,4,0.053340795689114186,0.07697946656868572,-2.3638670879571535,0.11413177050491212,0.07194213119639724
acetylene,Acetylene,C2H2,50,22,1,0.12653400502504575,0.1502033279246257,-2.3669322899579956,0.12969160891730822,0.14042370950418964
pinacolone,methyl tert-butyl ketone,C6H12O,55,17,4,0.049522101909535224,0.07367276463458527,-2.415066272505005,0.10341720519239771,0.08388614039752246
ethylene,ethene,C2H4,28,23,1,0.05591420754661088,0.08008679807459755,-2.417259052798667,0.08508520802064207,0.10047115637493777
octafluoropropane,perfluoropropane,C3F8,75,69,3,0.16719599025015486,0.1956797063716229,-2.848371612146805,0.15798194352844575,0.18324590054616602
silicon-dichloride,silicon dichloride,SiCl2,31,22,4,0.1804753649939003,0.20945551412561106,-2.8980149131710764,0.2235298318674417,0.23918197710550004
propane,Propane,C3H8,64,38,2,0.10586365004309456,0.14747077750365623,-4.160712746056166,0.09987745255362103,0.1356053768044717
sulfur-hexafluoride,sulfur hexafluoride,SF6,30,25,4,0.1502968262378052,0.20085090173070888,-5.055407549290369,0.13030900327479106,0.18590277719320103
2-pentanone,methyl propyl ketone,C5H10O,55,17,4,0.04108416700331575,0.11322335714753415,-7.21391901442184,0.06562797679479093,0.12751580837055296
2-butanol,sec-Butanol,C4H10O,21,20,3,0.07853834023260399,0.15571323496836426,-7.717489473576027,0.07398592331913317,0.15081126886736168
sulfur-dioxide,sulfur dioxide,SO2,80,59,2,0.1873141914652,0.26945828719155196,-8.214409572635194,0.17942512270038627,0.24006623993427215
acrylonitrile,acrylonitrile,C3H3N,47,13,2,0.11913901237380883,0.2395449205335371,-12.040590815972827,0.08085483563957296,0.11370354514746528
silicon-monofluoride,silicon monofluoride,SiF,22,15,4,0.22004360843530332,0.37150296345108547,-15.145935501578215,0.17577388692330181,0.3215919275857364
ethane,Ethane,C2H6,55,36,2,0.06543290337620557,0.2226870236408397,-15.725412026463415,0.04547459094262639,0.18619109141995124
dichlorodifluoromethane,dichlorodifluoromethane,CCl2F2,14,10,3,0.2676732990378329,0.5575372943164372,-28.986399527860428,0.2136311422007338,0.4883624775589517
