original_csv_line,identity_key,experimental_peak_energy_eV,model_energy_eV,model_feature_policy,source,verification_level
92,2-chlorobutane,80,,provenance only; not read by the feature matrix,"${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\bart_hudson2001_new6_strict_peak_pairs_2026_08_02.csv; source_cache/bart_thesis_2003/bart_thesis.pdf Table 3.4 PDF page 62 (printed 43), and Table 5.3 PDF pages 141-142 (printed 122-123); experimental and BEB peak energies are separate columns",original thesis table headers and values visually verified
677,bromoform,80,,provenance only; not read by the feature matrix,"${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\bart_hudson2001_new6_strict_peak_pairs_2026_08_02.csv; source_cache/bart_thesis_2003/bart_thesis.pdf Table 3.4 PDF page 62 (printed 43), and Table 5.3 PDF pages 141-142 (printed 122-123); experimental and BEB peak energies are separate columns",original thesis table headers and values visually verified
686,bromotrifluoromethane,86,,provenance only; not read by the feature matrix,"${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\bart_hudson2001_new6_strict_peak_pairs_2026_08_02.csv; source_cache/bart_thesis_2003/bart_thesis.pdf Table 3.4 PDF page 62 (printed 43), and Table 5.3 PDF pages 141-142 (printed 122-123); experimental and BEB peak energies are separate columns",original thesis table headers and values visually verified
860,c2cl4,79,,provenance only; not read by the feature matrix,${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\agent_no_qec_immediate_numeric_peak_labels_50.csv; source column experimental_energy_eV=NA; tools/train_final_beb_residual_model.py load_peak_labels lines 245-263 explicitly substitutes curve_peak energy for missing experimental energy,numeric carrier / extraction metadata checked
862,c2cl6,90,,provenance only; not read by the feature matrix,${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\agent_no_qec_immediate_numeric_peak_labels_50.csv; source column experimental_energy_eV=NA; tools/train_final_beb_residual_model.py load_peak_labels lines 245-263 explicitly substitutes curve_peak energy for missing experimental energy,numeric carrier / extraction metadata checked
864,c2h2cl4-1-1-1-2,79,,provenance only; not read by the feature matrix,"${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\agent_no_qec_immediate_numeric_peak_labels_50.csv; source column experimental_energy_eV=NA; tools/train_final_beb_residual_model.py load_peak_labels lines 245-263 explicitly substitutes curve_peak energy for missing experimental energy; Replacement experimental numerical carrier: [59] M. Bart. Electron Impact Ionization: Measurements of Absolute Cross-Sections and Cross-Beam Studies. PhD thesis, University of Canterbury, Christchurch, New Zealand, 2003. https://ir.canterbury.ac.nz/server/api/core/bitstreams/7106f9ca-1e1a-47c9-8224-7886f52b012e/content; Table 3.4 PDF page 62 / printed 43; Table 3.2 PDF page 56 / printed 37","Original university-repository thesis title, table headers, exact isomer rows and uncertainty table directly read; six source replacements after uniform 15-row audit"
866,c2h2cl4-1-1-2-2,79,,provenance only; not read by the feature matrix,"${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\agent_no_qec_immediate_numeric_peak_labels_50.csv; source column experimental_energy_eV=NA; tools/train_final_beb_residual_model.py load_peak_labels lines 245-263 explicitly substitutes curve_peak energy for missing experimental energy; Replacement experimental numerical carrier: [59] M. Bart. Electron Impact Ionization: Measurements of Absolute Cross-Sections and Cross-Beam Studies. PhD thesis, University of Canterbury, Christchurch, New Zealand, 2003. https://ir.canterbury.ac.nz/server/api/core/bitstreams/7106f9ca-1e1a-47c9-8224-7886f52b012e/content; Table 3.4 PDF page 62 / printed 43; Table 3.2 PDF page 56 / printed 37","Original university-repository thesis title, table headers, exact isomer rows and uncertainty table directly read; six source replacements after uniform 15-row audit"
868,c2h3cl3-1-1-1,79,,provenance only; not read by the feature matrix,"${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\agent_no_qec_immediate_numeric_peak_labels_50.csv; source column experimental_energy_eV=NA; tools/train_final_beb_residual_model.py load_peak_labels lines 245-263 explicitly substitutes curve_peak energy for missing experimental energy; Replacement experimental numerical carrier: [59] M. Bart. Electron Impact Ionization: Measurements of Absolute Cross-Sections and Cross-Beam Studies. PhD thesis, University of Canterbury, Christchurch, New Zealand, 2003. https://ir.canterbury.ac.nz/server/api/core/bitstreams/7106f9ca-1e1a-47c9-8224-7886f52b012e/content; Table 3.4 PDF page 62 / printed 43; Table 3.2 PDF page 56 / printed 37","Original university-repository thesis title, table headers, exact isomer rows and uncertainty table directly read; six source replacements after uniform 15-row audit"
870,c2h3cl3-1-1-2,82,,provenance only; not read by the feature matrix,"${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\agent_no_qec_immediate_numeric_peak_labels_50.csv; source column experimental_energy_eV=NA; tools/train_final_beb_residual_model.py load_peak_labels lines 245-263 explicitly substitutes curve_peak energy for missing experimental energy; Replacement experimental numerical carrier: [59] M. Bart. Electron Impact Ionization: Measurements of Absolute Cross-Sections and Cross-Beam Studies. PhD thesis, University of Canterbury, Christchurch, New Zealand, 2003. https://ir.canterbury.ac.nz/server/api/core/bitstreams/7106f9ca-1e1a-47c9-8224-7886f52b012e/content; Table 3.4 PDF page 62 / printed 43; Table 3.2 PDF page 56 / printed 37","Original university-repository thesis title, table headers, exact isomer rows and uncertainty table directly read; six source replacements after uniform 15-row audit"
872,c2h4cl2-1-1,80,,provenance only; not read by the feature matrix,"${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\agent_no_qec_immediate_numeric_peak_labels_50.csv; source column experimental_energy_eV=NA; tools/train_final_beb_residual_model.py load_peak_labels lines 245-263 explicitly substitutes curve_peak energy for missing experimental energy; Replacement experimental numerical carrier: [59] M. Bart. Electron Impact Ionization: Measurements of Absolute Cross-Sections and Cross-Beam Studies. PhD thesis, University of Canterbury, Christchurch, New Zealand, 2003. https://ir.canterbury.ac.nz/server/api/core/bitstreams/7106f9ca-1e1a-47c9-8224-7886f52b012e/content; Table 3.4 PDF page 62 / printed 43; Table 3.2 PDF page 56 / printed 37","Original university-repository thesis title, table headers, exact isomer rows and uncertainty table directly read; six source replacements after uniform 15-row audit"
874,c2h4cl2-1-2,78,,provenance only; not read by the feature matrix,${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\agent_no_qec_immediate_numeric_peak_labels_50.csv; source column experimental_energy_eV=NA; tools/train_final_beb_residual_model.py load_peak_labels lines 245-263 explicitly substitutes curve_peak energy for missing experimental energy,numeric carrier / extraction metadata checked
876,c2hcl3,82,,provenance only; not read by the feature matrix,${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\agent_no_qec_immediate_numeric_peak_labels_50.csv; source column experimental_energy_eV=NA; tools/train_final_beb_residual_model.py load_peak_labels lines 245-263 explicitly substitutes curve_peak energy for missing experimental energy,numeric carrier / extraction metadata checked
878,c2hcl5,82,,provenance only; not read by the feature matrix,${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\agent_no_qec_immediate_numeric_peak_labels_50.csv; source column experimental_energy_eV=NA; tools/train_final_beb_residual_model.py load_peak_labels lines 245-263 explicitly substitutes curve_peak energy for missing experimental energy,numeric carrier / extraction metadata checked
880,c3h7cl-1,82,,provenance only; not read by the feature matrix,"${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\agent_no_qec_immediate_numeric_peak_labels_50.csv; source column experimental_energy_eV=NA; tools/train_final_beb_residual_model.py load_peak_labels lines 245-263 explicitly substitutes curve_peak energy for missing experimental energy; Replacement experimental numerical carrier: [59] M. Bart. Electron Impact Ionization: Measurements of Absolute Cross-Sections and Cross-Beam Studies. PhD thesis, University of Canterbury, Christchurch, New Zealand, 2003. https://ir.canterbury.ac.nz/server/api/core/bitstreams/7106f9ca-1e1a-47c9-8224-7886f52b012e/content; Table 3.4 PDF page 62 / printed 43; Table 3.2 PDF page 56 / printed 37","Original university-repository thesis title, table headers, exact isomer rows and uncertainty table directly read; six source replacements after uniform 15-row audit"
