identity_key,molecule_name,formula,rows,primary_rows,sources,energy_min_eV,energy_max_eV,primary_energy_max_eV,cv_fold,raw_primary_nmae_percent,raw_whole_nmae_percent,constant_primary_nmae_percent,constant_whole_nmae_percent,ml_primary_nmae_percent,ml_whole_nmae_percent,improvement_pp
2-butanol,sec-Butanol,C4H10O,21,20,"[""${ARCHIVE_ROOT}\\outputs\\no_qec_priority_2026_07_31\\agent_2butanol_hudson2003_strict_numeric_pairs.csv""]",16.0,97.0,93.0,3,7.853834023260399,7.398592331913317,11.153856038004859,10.68468523957429,15.571323496836422,15.081126886736165,-7.717489473576023
2-butanone,methyl ethyl ketone,C4H8O,55,16,"[""${PROJECT_ROOT}\\data\\processed\\qec_low_energy_priority_curve_points_2026_07_26.csv""]",15.0,285.0,90.0,3,10.64668494686361,15.798224528077478,7.912726442410683,13.221888552130743,3.565432214219002,5.795540387842582,7.081252732644608
2-hexanone,methyl butyl ketone,C6H12O,55,17,"[""${PROJECT_ROOT}\\data\\processed\\qec_low_energy_priority_curve_points_2026_07_26.csv""]",15.0,285.0,95.0,0,5.18385731167878,7.973549559632671,5.405372225218519,5.325744639725641,4.01165764008064,4.414508774393537,1.1721996715981406
2-pentanone,methyl propyl ketone,C5H10O,55,17,"[""${PROJECT_ROOT}\\data\\processed\\qec_low_energy_priority_curve_points_2026_07_26.csv""]",15.0,285.0,95.0,4,4.108416700331576,6.562797679479093,6.231945709752832,4.83083139596346,11.322335714753416,12.751580837055299,-7.21391901442184
3-hexanone,ethyl propyl ketone,C6H12O,55,17,"[""${PROJECT_ROOT}\\data\\processed\\qec_low_energy_priority_curve_points_2026_07_26.csv""]",15.0,285.0,95.0,2,5.267185065710562,6.005517422148932,5.189471089378821,3.7231214759829685,2.4974964893017884,5.613872118434517,2.7696885764087735
3-methyl-2-butanone,methyl isopropyl ketone,C5H10O,55,15,"[""${PROJECT_ROOT}\\data\\processed\\qec_low_energy_priority_curve_points_2026_07_26.csv""]",15.0,285.0,85.0,1,17.064827729770062,18.92827450680085,13.706514705500798,15.645418461881002,13.746594389083326,14.140171994862294,3.318233340686737
3-methyl-2-pentanone,methyl sec-butyl ketone,C6H12O,55,17,"[""${PROJECT_ROOT}\\data\\processed\\qec_low_energy_priority_curve_points_2026_07_26.csv""]",15.0,285.0,95.0,4,5.334079568911418,11.41317705049121,5.641177732162345,9.16886799304658,7.697946656868572,7.194213119639723,-2.3638670879571535
3-pentanone,diethyl ketone,C5H10O,55,15,"[""${PROJECT_ROOT}\\data\\processed\\qec_low_energy_priority_curve_points_2026_07_26.csv""]",15.0,285.0,85.0,3,12.051044395204864,13.419208111796586,9.360055314492046,10.770080967893108,3.2656151676699996,4.185926115727615,8.785429227534864
4-methyl-2-pentanone,methyl iso-butyl ketone,C6H12O,55,18,"[""${PROJECT_ROOT}\\data\\processed\\qec_low_energy_priority_curve_points_2026_07_26.csv""]",15.0,285.0,100.0,0,9.459623819435906,16.09895487502031,5.826725539335689,12.627165568779978,7.508023189333156,12.44831400988458,1.9516006301027504
acetylene,Acetylene,C2H2,50,22,"[""${ARCHIVE_ROOT}\\nist_strict_usable_numeric_pairs_2026_07_30\\paired_numeric\\001_C2H2_BEB_vs_experiment.csv""]",12.5823,298.389,90.5395,1,12.653400502504574,12.969160891730821,9.348092837495077,10.476004072129093,15.020332792462565,14.042370950418967,-2.3669322899579903
acrylonitrile,acrylonitrile,C3H3N,47,13,"[""${PROJECT_ROOT}\\data\\processed\\expanded_measured_total_master_2026_07_26.csv""]",29.2935,286.607,103.2911,2,11.913901237380884,8.085483563957297,15.669687071319375,6.954132563267788,23.95449205335371,11.370354514746527,-12.040590815972827
ammonia,ammonia,NH3,43,24,"[""${ARCHIVE_ROOT}\\nist_strict_usable_numeric_pairs_2026_07_30\\paired_numeric\\002_NH3_BEB_vs_experiment.csv""]",12.983,299.601,89.7606,2,6.286248043583383,5.035876720825081,9.406062043879777,5.682544825506737,7.106172000201119,4.707755783699763,-0.8199239566177363
boron-trifluoride,boron trifluoride,BF3,29,23,"[""${ARCHIVE_ROOT}\\nist_strict_usable_numeric_pairs_2026_07_30\\paired_numeric\\003_BF3_BEB_vs_experiment.csv""]",17.6345,234.2,123.69,0,7.520421724579661,9.230241636218526,6.666984806450295,7.448818700066284,8.1955633282063,9.873091040026761,-0.6751416036266384
bromomethane,bromomethane,CH3Br,8,3,"[""${ARCHIVE_ROOT}\\outputs\\current_experiment_beb_master_2026_08_01\\aip_fig9_12_13_experiment_ecp_beb_READY_TIER_B.csv""]",54.556,297.635,80.401,2,8.152330855794819,11.663237536571309,4.975660977626728,8.607996885751067,2.776023967948035,6.202915646941925,5.376306887846784
butyraldehyde,butyraldehyde,C4H8O,55,16,"[""${PROJECT_ROOT}\\data\\processed\\qec_low_energy_priority_curve_points_2026_07_26.csv""]",15.0,285.0,90.0,4,11.75252974119917,12.501250462628422,8.454128307867174,9.230833757849949,5.338006125038664,2.5525521714266373,6.414523616160507
carbon-dioxide,carbon dioxide,CO2,53,36,"[""${ARCHIVE_ROOT}\\nist_strict_usable_numeric_pairs_2026_07_30\\paired_numeric\\004_CO2_BEB_vs_experiment.csv""]",14.5361,299.601,115.382,0,11.677104541264724,9.65693523256058,16.357705597662296,14.255752753486822,9.331262985420018,8.151126352289152,2.3458415558447054
