identity_key,rows,cv_fold,source_group
1-3-butadiene,2,2,NIST_new8
1-4-5-6-tetrahydropyrimidine,1,1,Bull2014_new_strict_identity
1-butanol,2,3,unified119
1-butene,1,2,NIST_new8
1-heptene,1,1,Irikura_Bose_new3
1-hexene,2,1,Irikura_Bose_1hexene;ALeCS_Bose_structure_checked
1-propanol,1,2,unified119;Bull2012_numeric_peak32
2-butanol,23,3,unified119;Hudson_2butanol_21points
2-butanone,57,3,unified119;Bull2012_numeric_peak32
2-chlorobutane,1,3,Bart_Hudson_2001_new6
2-hexanone,57,0,unified119;Bull2012_numeric_peak32
2-methyl-1-propanol,2,2,unified119
2-methyltetrahydrofuran,1,4,unified119
2-pentanone,56,4,unified119;Bull2012_numeric_peak32
2-propanol,2,3,unified119
3-hexanone,57,2,unified119;Bull2012_numeric_peak32
3-methyl-2-butanone,57,1,unified119;Bull2012_numeric_peak32
3-methyl-2-pentanone,57,4,unified119;Bull2012_numeric_peak32
3-pentanone,57,3,unified119;Bull2012_numeric_peak32
4-methyl-2-pentanone,57,0,unified119;Bull2012_numeric_peak32
acetaldehyde,1,0,unified119;Bull2012_numeric_peak32
acetic-acid,1,1,ALeCS_Bose_connectivity_resolved
acetone,1,2,unified119;Bull2012_numeric_peak32
acetonitrile,1,3,unified119
acetophenone,1,4,Irikura_Bose_new3
acetylene,50,1,unified119
acrolein,1,0,unified119
acrylonitrile,48,2,unified119
ammonia,44,2,unified119
aniline,1,1,unified119
anthracene,1,2,ALeCS_Bose_structure_checked
benzene,2,0,benzene_strict;Zhong_Bose_exact_identity
boron-trifluoride,29,0,unified119
bromoform,1,3,Bart_Hudson_2001_new6
bromomethane,8,2,BartGamman2021_fig9_12_13_raw_ECP_BEB
bromotrifluoromethane,1,4,Bart_Hudson_2001_new6
butyl-acetate,2,2,unified119
butyl-formate,2,1,unified119
butyraldehyde,57,4,unified119;Bull2012_numeric_peak32
butyronitrile,1,0,unified119
c2cl4,2,1,unified119
c2cl6,2,2,unified119
c2h2cl4-1-1-1-2,2,3,unified119
c2h2cl4-1-1-2-2,2,0,unified119
c2h3cl3-1-1-1,2,1,unified119
c2h3cl3-1-1-2,2,2,unified119
c2h4cl2-1-1,2,3,unified119
c2h4cl2-1-2,2,4,unified119
c2hcl3,2,0,unified119
c2hcl5,2,1,unified119
c3h7cl-1,2,2,unified119
c3h7cl-2,2,3,unified119
c4h9cl-1,2,4,unified119
carbon-dioxide,54,0,unified119
carbon-disulfide,60,0,unified119
carbon-monosulfide,32,0,unified119
carbon-monoxide,68,3,unified119
carbon-tetrabromide,1,1,Scott_Irikura_2005_heavy_element_new5
