feature,relative_importance,feature_group
n_Cl,0.13255688997810422,Molecular composition
n_F,0.09144074712695617,Molecular composition
n_O,0.05990967461009246,Molecular composition
beb_shape_peak,0.05108334852868133,BEB curve-shape descriptors
halogen_atoms,0.04233492983376459,Molecular composition
log_beb^2,0.0340222061055222,Interaction terms
total_electrons,0.03302160822225114,Molecular composition
heavy_atom_fraction,0.03205392005200565,Molecular composition
total_electrons^2,0.030466538033076866,Interaction terms
n_C,0.02873267524579887,Molecular composition
heavy_atoms^2,0.027209556061557286,Interaction terms
log_beb*total_atoms,0.027102126055203516,Interaction terms
beb_shape_peak_energy,0.02537937670761565,BEB curve-shape descriptors
total_atoms,0.025210074712193848,Molecular composition
n_S,0.024668720046392874,Molecular composition
log_energy*total_atoms,0.02438774861028425,Interaction terms
log_beb*log_energy,0.022219860319678996,Interaction terms
heavy_atoms*total_electrons,0.021424026491048204,Interaction terms
n_H,0.020648622832020586,Molecular composition
beb_has_multi_point_shape,0.02006850780169753,BEB curve-shape descriptors
total_atoms^2,0.020001565457042635,Interaction terms
log_energy*heavy_atoms,0.018629832093353137,Interaction terms
log_beb*heavy_atoms,0.01824700383727434,Interaction terms
log_beb,0.018069458375088082,BEB magnitude
log_energy^2,0.017307878233632293,Interaction terms
inv_sqrt_energy,0.01570673503021137,Collision energy
n_N,0.014987886557064968,Molecular composition
log_energy,0.014398680026442895,Collision energy
total_atoms*heavy_atoms,0.013925470686030094,Interaction terms
heavy_atoms,0.012723071547177254,Molecular composition
n_Si,0.011374332146474356,Molecular composition
energy_over_beb_peak,0.010926464061605,BEB curve-shape descriptors
beb_normalized,0.009094931425769802,BEB curve-shape descriptors
log_energy_from_peak,0.008046311128213144,BEB curve-shape descriptors
beb_log_curvature,0.007500756253943224,BEB curve-shape descriptors
beb_log_slope,0.005751602044372894,BEB curve-shape descriptors
n_Br,0.0034669105405504452,Molecular composition
n_Ge,0.001992778469106156,Molecular composition
n_Ga,0.0016180601899737962,Molecular composition
n_Ti,0.0008961257560152066,Molecular composition
n_P,0.0007190584572701169,Molecular composition
n_B,0.0003529387118811853,Molecular composition
n_Al,0.00019388652868295922,Molecular composition
n_I,0.000127105068878474,Molecular composition
energy_missing,0.0,Collision energy
n_Mg,0.0,Molecular composition
n_As,0.0,Molecular composition
n_W,0.0,Molecular composition
shape_at_missing_energy,0.0,BEB curve-shape descriptors
