task,feature,relative_importance
curve,log_beb,0.015710058727798872
curve,log_energy,0.026377980873353843
curve,inv_sqrt_energy,0.03822770043247903
curve,energy_missing,0.0
curve,total_atoms,0.030730794510619382
curve,heavy_atoms,0.006593596510333715
curve,total_electrons,0.01950074599037243
curve,halogen_atoms,0.021340136496672987
curve,heavy_atom_fraction,0.016990170612942734
curve,n_H,0.032936730866194565
curve,n_B,0.0013524475902868805
curve,n_C,0.03284446648484151
curve,n_N,0.012060286409571123
curve,n_O,0.11928128004573456
curve,n_F,0.030079515685703887
curve,n_Mg,0.0
curve,n_Al,0.0
curve,n_Si,0.038891774935125474
curve,n_P,0.002693511988566701
curve,n_S,0.034495166809343246
curve,n_Cl,0.05969621530031799
curve,n_Ti,0.0
curve,n_Ga,0.0
curve,n_Ge,0.0
curve,n_As,0.0
curve,n_Br,0.0030962866752230283
curve,n_I,0.0
curve,n_W,0.0
curve,beb_shape_peak,0.028538648084493898
curve,beb_shape_peak_energy,0.03851790368737842
curve,beb_normalized,0.03055547804973636
curve,energy_over_beb_peak,0.015321112156840835
curve,beb_log_slope,0.018070050164150437
curve,beb_log_curvature,0.016417361339433802
curve,beb_has_multi_point_shape,2.866665105555896e-30
curve,log_energy_from_peak,0.02227516907657545
curve,shape_at_missing_energy,0.0
curve,log_beb*log_energy,0.024080204330882163
curve,log_beb*total_atoms,0.048126188863786695
curve,log_beb*heavy_atoms,0.032062687379476824
curve,log_energy*total_atoms,0.02404740146818468
curve,log_energy*heavy_atoms,0.024518245994791795
curve,total_atoms*heavy_atoms,0.009841857998547757
curve,heavy_atoms*total_electrons,0.015569733733385153
curve,log_beb^2,0.02082415551381729
curve,log_energy^2,0.030692997360272433
curve,total_atoms^2,0.01955768023623533
curve,heavy_atoms^2,0.019639979310617492
curve,total_electrons^2,0.018444278305911145
fixed_sparse,log_beb,0.013652879531908264
fixed_sparse,log_energy,0.018672819624001604
fixed_sparse,inv_sqrt_energy,0.015024643114844492
fixed_sparse,energy_missing,0.0
fixed_sparse,total_atoms,0.015641828537670863
fixed_sparse,heavy_atoms,0.006752750545707856
fixed_sparse,total_electrons,0.020977842617306834
fixed_sparse,halogen_atoms,0.04534449019258839
fixed_sparse,heavy_atom_fraction,0.039784319533522974
fixed_sparse,n_H,0.0157938842821805
fixed_sparse,n_B,0.0
fixed_sparse,n_C,0.017559483125695212
fixed_sparse,n_N,0.021372554631614676
fixed_sparse,n_O,0.02635638228626056
fixed_sparse,n_F,0.16398672376979342
fixed_sparse,n_Mg,0.0
fixed_sparse,n_Al,0.000287182062761874
fixed_sparse,n_Si,0.0015283177755836769
fixed_sparse,n_P,0.0
fixed_sparse,n_S,0.02890471712965132
fixed_sparse,n_Cl,0.15035520153803908
fixed_sparse,n_Ti,0.0
fixed_sparse,n_Ga,0.0009711830408283214
fixed_sparse,n_Ge,0.002412613868706842
fixed_sparse,n_As,0.0
fixed_sparse,n_Br,0.0
fixed_sparse,n_I,0.0
fixed_sparse,n_W,0.0
fixed_sparse,beb_shape_peak,0.04606720579607834
fixed_sparse,beb_shape_peak_energy,0.02820960808341674
fixed_sparse,beb_normalized,0.017514619819181877
fixed_sparse,energy_over_beb_peak,0.03729201276903263
