held_out_batch,identity_key,molecule_name,formula,rows,source_locator,batch_molecules,included_in_batch_stress_test
Expanded measured batch,acrylonitrile,acrylonitrile,C3H3N,47,${PROJECT_ROOT}\data\processed\expanded_measured_total_master_2026_07_26.csv,6,True
Expanded measured batch,chloroethane,chloroethane,C2H5Cl,28,${PROJECT_ROOT}\data\processed\expanded_measured_total_master_2026_07_26.csv,6,True
Expanded measured batch,chloroform,chloroform,CHCl3,28,${PROJECT_ROOT}\data\processed\expanded_measured_total_master_2026_07_26.csv,6,True
Expanded measured batch,chloromethane,chloromethane,CH3Cl,45,${PROJECT_ROOT}\data\processed\expanded_measured_total_master_2026_07_26.csv,6,True
Expanded measured batch,dichlorodifluoromethane,dichlorodifluoromethane,CCl2F2,14,${PROJECT_ROOT}\data\processed\expanded_measured_total_master_2026_07_26.csv,6,True
Expanded measured batch,ethanethiol,ethanethiol,C2H6S,48,${PROJECT_ROOT}\data\processed\expanded_measured_total_master_2026_07_26.csv,6,True
Heavy-ECP figure batch,bromomethane,bromomethane,CH3Br,8,${ARCHIVE_ROOT}\outputs\current_experiment_beb_master_2026_08_01\aip_fig9_12_13_experiment_ecp_beb_READY_TIER_B.csv,3,True
Heavy-ECP figure batch,phosphine,phosphine,PH3,18,${ARCHIVE_ROOT}\outputs\current_experiment_beb_master_2026_08_01\aip_fig9_12_13_experiment_ecp_beb_READY_TIER_B.csv,3,True
Heavy-ECP figure batch,silicon-tetrachloride,silicon tetrachloride,SiCl4,23,${ARCHIVE_ROOT}\outputs\current_experiment_beb_master_2026_08_01\aip_fig9_12_13_experiment_ecp_beb_READY_TIER_B.csv,3,True
Hudson ester family,ethyl-acetate,ethyl acetate,C4H8O2,55,${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\ready15_esters_experiment_beb\paired_curves\009_ethyl_acetate_experiment_beb_paired.csv,9,True
Hudson ester family,ethyl-formate,ethyl formate,C3H6O2,55,${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\ready15_esters_experiment_beb\paired_curves\002_ethyl_formate_experiment_beb_paired.csv,9,True
Hudson ester family,isopropyl-acetate,isopropyl acetate,C5H10O2,55,${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\ready15_esters_experiment_beb\paired_curves\011_isopropyl_acetate_experiment_beb_paired.csv,9,True
Hudson ester family,isopropyl-formate,isopropyl formate,C4H8O2,55,${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\ready15_esters_experiment_beb\paired_curves\004_isopropyl_formate_experiment_beb_paired.csv,9,True
Hudson ester family,methyl-acetate,methyl acetate,C3H6O2,55,${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\ready15_esters_experiment_beb\paired_curves\008_methyl_acetate_experiment_beb_paired.csv,9,True
Hudson ester family,methyl-formate,methyl formate,C2H4O2,55,${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\ready15_esters_experiment_beb\paired_curves\001_methyl_formate_experiment_beb_paired.csv,9,True
Hudson ester family,pentyl-formate,pentyl formate,C6H12O2,55,${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\ready15_esters_experiment_beb\paired_curves\007_pentyl_formate_experiment_beb_paired.csv,9,True
